,nama produk,merk,harga,kategori,warna
0,Cloud 6 Women's Sneakers - White,ON,1500000,Wanita,Putih
1,530 Unisex Sneakers - Silver,NEW BALANCE,1019400,Unisex,Abu-abu
2,530 Unisex Sneakers - Silver,NEW BALANCE,1189300,Unisex,Abu-abu
3,740 Unisex Sneakers - Beige,NEW BALANCE,949500,Unisex,Beige
4,740 Unisex Sneakers - Quartz Grey/ Mosaic Green,NEW BALANCE,949500,Unisex,Abu-abu
5,V5 Rnr Boys' Play School Sneakers - White/Black-Vast Grey-College Grey,Nike,545400,Anak Laki-Laki,Putih
6,V5 RNR Women's Sneakers - Particle Pink/Pale Ivory,Nike,1119200,Wanita,Pink
7,V5 RNR Women's Sneakers - White/White-Black,Nike,1119200,Wanita,Putih
8,530 Bungee Boys Sneakers - Silver,NEW BALANCE,999000,Anak Laki-Laki,Abu-abu
9,Samba OG Men's Sneakers - White,ADIDAS,900000,Pria,Putih
10,P-6000 Men's Sneakers - White/Black-Metallic Silver,Nike,1429000,Pria,Putih
11,Classic Unisex Clog - ATMosphere,CROCS,999000,Unisex,Abu-abu
12,Nike Air Max Plus Women's Sneakers - White,Nike,1000000,Wanita,Putih
13,Streetball EP Men's Basketball Shoes - LT WILD MANGO/FLASH LIME,Nike,700000,Pria,Pink
14,Vans Old Skool Unisex Sneakers - BLACK,VANS,1099000,Unisex,Hitam
15,Handball Spezial Kids Sneakers - Blue,ADIDAS,450000,Anak - Anak,Biru
16,SAMBA OG Kids' Pre-School Sneakers - Ftwr White,ADIDAS,850000,Anak - Anak,Putih
17,GT-2160 Men's Sneakers - Gravel/Carrier Grey,ASICS,800000,Pria,Abu-abu
18,Samba Og Kids' Play School Sneakers - Ftwr White/Powder Plum/Gum5,ADIDAS,595000,Anak - Anak,Putih
19,530 Bungee Boys Kids Sneakers - Beige,NEW BALANCE,659400,Anak Laki-Laki,Beige
20,GEL-1130 Women's Sneakers - White/Midnight,ASICS,1019400,Wanita,Putih
21,P-6000 Men's Sneakers - Black,Nike,1429000,Pria,Hitam
22,GEL-KINETIC Fluent Unisex Sneakers - White/White,ASICS,1959300,Unisex,Putih
23,1906 Boys Kids Sneakers - Silver,NEW BALANCE,799500,Anak Perempuan,Abu-abu
24,530 Boys Sneakers - White,NEW BALANCE,1099000,Anak Laki-Laki,Putih
25,Palermo Flat Unisex Sneakers - Bronze-Haute Tropic,PUMA,799500,Unisex,Coklat
