nama produk,merk,harga,kategori,warna
"
                    Cloud 6 Women's Sneakers - White                ","
ON
","

                                        Rp. 1.500.000                                    
",Wanita,Putih
"
                    530 Unisex Sneakers - Silver                ","
NEW BALANCE
","

                                        Rp. 1.019.400                                    
",Unisex,Abu-abu
"
                    530 Unisex Sneakers - Silver                ","
NEW BALANCE
","

                                        Rp. 1.189.300                                    
",Unisex,Abu-abu
"
                    740 Unisex Sneakers - Beige                ","
NEW BALANCE
","

                                        Rp. 949.500                                    
",Unisex,Beige
"
                    740 Unisex Sneakers - Quartz Grey/ Mosaic Green                ","
NEW BALANCE
","

                                        Rp. 949.500                                    
",Unisex,Abu-abu
"
                    V5 Rnr Boys' Play School Sneakers - White/Black-Vast Grey-College Grey                ","
Nike
","

                                        Rp. 545.400                                    
",Anak Laki-Laki,Putih
"
                    V5 RNR Women's Sneakers - Particle Pink/Pale Ivory                ","
Nike
","

                                        Rp. 1.119.200                                    
",Wanita,Pink
"
                    V5 RNR Women's Sneakers - White/White-Black                ","
Nike
","

                                        Rp. 1.119.200                                    
",Wanita,Putih
"
                    530 Bungee Boys Sneakers - Silver                ","
NEW BALANCE
","

                                    Rp. 999.000                                
",Anak Laki-Laki,Abu-abu
"
                    Samba OG Men's Sneakers - White                ","
ADIDAS
","

                                        Rp. 900.000                                    
",Pria,Putih
"
                    P-6000 Men's Sneakers - White/Black-Metallic Silver                ","
Nike
","

                                    Rp. 1.429.000                                
",Pria,Putih
"
                    Classic Unisex Clog - ATMosphere                ","
CROCS
","

                                    Rp. 999.000                                
",Unisex,Abu-abu
"
                    Nike Air Max Plus Women's Sneakers - White                ","
Nike
","

                                        Rp. 1.000.000                                    
",Wanita,Putih
"
                    Streetball EP Men's Basketball Shoes - LT WILD MANGO/FLASH LIME                ","
Nike
","

                                        Rp. 700.000                                    
",Pria,Pink
"
                    Vans Old Skool Unisex Sneakers - BLACK                ","
VANS
","

                                    Rp. 1.099.000                                
",Unisex,Hitam
"
                    Handball Spezial Kids Sneakers - Blue                ","
ADIDAS
","

                                        Rp. 450.000                                    
",Anak - Anak,Biru
"
                    SAMBA OG Kids' Pre-School Sneakers - Ftwr White                ","
ADIDAS
","

                                    Rp. 850.000                                
",Anak - Anak,Putih
"
                    GT-2160 Men's Sneakers - Gravel/Carrier Grey                ","
ASICS
","

                                        Rp. 800.000                                    
",Pria,Abu-abu
"
                    Samba Og Kids' Play School Sneakers - Ftwr White/Powder Plum/Gum5                ","
ADIDAS
","

                                        Rp. 595.000                                    
",Anak - Anak,Putih
"
                    530 Bungee Boys Kids Sneakers - Beige                ","
NEW BALANCE
","

                                        Rp. 659.400                                    
",Anak Laki-Laki,Beige
"
                    GEL-1130 Women's Sneakers - White/Midnight                ","
ASICS
","

                                        Rp. 1.019.400                                    
",Wanita,Putih
"
                    P-6000 Men's Sneakers - Black                ","
Nike
","

                                    Rp. 1.429.000                                
",Pria,Hitam
"
                    GEL-KINETIC Fluent Unisex Sneakers - White/White                ","
ASICS
","

                                        Rp. 1.959.300                                    
",Unisex,Putih
"
                    1906 Boys Kids Sneakers - Silver                ","
NEW BALANCE
","

                                        Rp. 799.500                                    
",Anak Perempuan,Abu-abu
"
                    530 Boys Sneakers - White                ","
NEW BALANCE
","

                                    Rp. 1.099.000                                
",Anak Laki-Laki,Putih
"
                    Palermo Flat Unisex Sneakers - Bronze-Haute Tropic                ","
PUMA
","

                                        Rp. 799.500                                    
",Unisex,Coklat
"
                    530 Bungee Boys Infant Sneakers - Grey                ","
NEW BALANCE
","

                                        Rp. 499.500                                    
",Anak Laki-Laki,Abu-abu
"
                    Gazelle Indoor Women's Sneakers - Pink                ","
ADIDAS
","

                                        Rp. 1.540.000                                    
",Wanita,Pink
"
                    Cloud 6 Women's Sneakers - Black                ","
ON
","

                                        Rp. 1.500.000                                    
",Wanita,Hitam
"
                    Kobe IX Low EM Kids' Grade School Sneakers - Wolf Grey/White                ","
Nike
","

                                        Rp. 995.400                                    
",Anak - Anak,Abu-abu
"
                    Gel-Cumulus 16 Unisex Sneakers - White/White                ","
ASICS
","

                                        Rp. 1.099.500                                    
",Unisex,Putih
"
                    Reactx Rejuven8 Kids' Grade School Sandals - Black/Black-Black                ","
Nike
","

                                        Rp. 695.200                                    
",Anak Laki-Laki,Hitam
